Wisconsin,112.35837636123,97.109827908541,0.84254483472504,5–2,5,7,51.5,51.3,35.6,39.4,15.3,22.3,35.1,24.1,65.4,54.1,49.8,30.8,35.9,4.7,8.6,39.5,39.2,33.3,37.3,65.525309271861,78.2727639814254,82.0045,1.936987397479497,2024,0,0,50.79796,,74.6,70.4,1.129,0.976,21.906185714286
Memphis,111.71784729672,96.604861064187,0.84177507128824,5–1,5,6,53.5,46.3,36.7,27.7,18.2,20.3,28.2,34.3,73.1,51.9,43.4,37.2,33.5,15.4,10.4,48.8,43.3,40.6,42.1,72.474301010018,77.94004456147458,80.7085,2.72052052052052,2024,0,0,65.70868,,70.2,73.6,1.08,0.985,26.7736
Utah,111.5693636054,96.649886397207,0.83900479193571,4–2,4,6,53.9,50,38.9,20.6,17,14.7,31.1,23.9,71.5,50.9,47.7,39.1,35.4,10.1,7.2,61.7,53.4,38.3,42.5,70.721201456014,79.52695724023961,82.9305,2.6549999999999994,2024,0,0,52.13932,,70,61.5,1.133,0.996,30.572933333333
Illinois,109.20302854164,94.616588212399,0.83873202406933,5–1,5,6,53.1,37.8,27.4,20.5,17.4,13,33.9,23.7,71.7,57.3,37.3,31.4,25.9,10.6,7,44.1,27.9,40.7,29,71.115391643934,78.27813634530052,80.281,2.1031524341580203,2024,0,0,60.20256,,57.1,61,1.086,0.819,8.6276666666667
Oklahoma,111.1167410064,96.358920736652,0.8373669580742,6–0,6,6,56.7,40.8,33.1,26.5,17.3,20.2,36.9,27.6,70.3,60.6,42.1,33.6,25.2,10.9,10.6,47,41.7,37.7,31,68.558058660585,77.73826903023983,80.4725,1.927327327327327,2024,0,0,39.378840000000004,,77.5,70.5,1.198,0.852,14.8343
Oregon,113.85489134972,98.738099701666,0.83729251566678,4–2,4,6,52.8,49,38.8,35.9,12.9,16.8,31.2,23.4,72.3,51.8,49.4,36.4,32.2,9.4,8.5,48.3,44.2,34.8,34.2,69.936639009634,76.69959758551308,79.9735,2.3200640128025602,2024,0,0,38.91612000000001,,60.5,73.2,1.127,1.014,16.40315
Texas Tech,108.2629265347,94.118803045746,0.83341925285958,5–1,5,6,47.3,44.7,38.4,23.3,19.2,19.2,32.8,26.3,67.7,52.1,46.3,27.4,28.2,10.7,14.7,51.1,41.5,43.5,40.9,68.347111030612,76.60363859362224,79.947,2.1265012009607682,2024,0,0,48.700039999999994,,76,66.7,1.024,0.896,18.199833333333
Virginia,107.21432825311,93.218859641748,0.83321944914006,6–1,6,7,50.3,39.9,35.7,24.1,14,24.2,25.2,36.5,61.3,48.5,39.3,35.7,27.2,19.7,6.8,62.3,56.1,34.9,38.6,61.677659438143,77.70807957775072,80.6125,1.5500899820035992,2024,0,0,60.28228000000001,,68.2,71.7,1.051,0.862,20.095314285714
Miami FL,115.88426710714,100.80070205694,0.83252605970505,5–1,5,6,59.3,50,33.5,21.4,17.4,18.1,28.2,31.7,73.6,56,54.6,43.1,28.8,11.3,9.2,48.6,47.5,38.6,40.6,71.020900535969,77.03334688897925,79.79450000000001,1.9422231107556969,2024,0,0,56.845079999999996,,81.5,65.1,1.173,1.035,22.126783333333
Arkansas,112.17295928459,97.622247402545,0.83170652222848,5–3,5,8,51.7,48,49.7,39.8,16.3,16.1,28.7,26.1,72.5,51.8,46.3,34.3,34.1,16.9,5,41.8,49,35.5,34.7,71.392379713355,77.16904711149009,80.18799999999999,2.2998000000000003,2024,0,0,64.4818,,69.8,67.7,1.081,1.009,21.57865
