school_name,g,wins,losses,win_loss_pct,srs,sos,wins_home,losses_home,wins_visitor,losses_visitor,pts,opp_pts,pace,off_rtg,fta_per_fga_pct,fg3a_per_fga_pct,ts_pct,trb_pct,ast_pct,stl_pct,blk_pct,efg_pct,tov_pct,orb_pct,ft_rate
Utah Tech,7,4,3,.571,-7.26,-1.60,1,0,3,3,490,512,71.9,95.7,.392,.324,.519,50.4,48.8,10.4,9.5,.481,18.5,28.5,.269
Utah Valley,8,5,3,.625,-5.98,-1.31,3,0,1,2,551,536,69.9,97.0,.380,.349,.513,49.9,59.8,9.9,10.7,.480,16.1,25.0,.251
UTEP,8,5,3,.625,-2.08,-1.41,4,1,0,1,647,551,75.8,106.6,.468,.306,.558,51.4,60.7,15.3,10.0,.526,17.2,31.9,.312
UTSA,8,4,4,.500,-13.11,-8.86,3,1,1,3,625,659,73.4,104.7,.373,.404,.516,49.2,51.9,7.2,11.7,.474,13.4,31.3,.266
Valparaiso,8,4,4,.500,-8.43,-3.28,4,2,0,2,561,558,71.9,97.6,.300,.335,.484,47.6,48.3,9.7,11.7,.451,12.8,27.2,.205
Vanderbilt,8,4,4,.500,-5.44,-4.06,4,2,0,0,570,581,68.4,104.2,.431,.465,.523,53.4,48.6,8.0,5.0,.473,15.0,32.3,.314
Vermont,9,7,2,.778,4.05,0.62,5,0,0,1,677,553,64.3,117.1,.251,.481,.588,53.9,52.8,8.0,9.1,.574,12.6,27.9,.169
Villanova,9,6,3,.667,11.90,2.46,3,1,0,1,669,584,65.1,112.6,.362,.505,.552,54.1,48.6,8.4,6.0,.498,13.1,32.6,.298
Virginia,8,7,1,.875,16.95,4.07,5,0,0,0,535,432,61.8,108.1,.346,.353,.552,47.1,63.5,14.7,18.7,.523,12.6,25.9,.240
Virginia Commonwealth,8,4,4,.500,10.06,6.69,3,2,0,0,544,517,66.4,102.4,.426,.461,.567,52.6,56.8,8.3,14.2,.515,20.1,28.7,.333
VMI,9,2,7,.222,-11.61,-0.89,2,1,0,4,648,652,73.5,97.9,.227,.354,.528,53.4,42.9,6.8,7.6,.514,19.4,30.8,.141
Virginia Tech,8,5,3,.625,12.43,6.68,3,0,0,1,595,549,68.8,108.0,.418,.393,.558,50.8,62.7,9.6,6.9,.501,14.8,28.9,.335
Wagner,7,3,4,.429,-10.46,-0.30,2,0,1,4,427,453,64.0,93.6,.246,.406,.444,47.0,50.3,11.4,6.6,.418,11.6,29.0,.155
Wake Forest,7,4,3,.571,6.55,0.41,3,0,0,1,552,509,69.3,111.7,.339,.381,.584,48.7,40.9,8.7,11.3,.543,14.2,24.8,.270
Washington,7,4,3,.571,17.99,9.84,3,1,0,0,577,520,72.5,111.6,.338,.353,.556,50.7,57.1,9.5,13.6,.523,13.8,32.5,.244
Washington State,7,6,1,.857,15.21,-0.79,5,0,0,0,555,443,68.3,116.1,.357,.323,.576,55.3,43.0,9.0,18.7,.558,13.2,33.6,.231
Weber State,6,4,2,.667,8.15,5.40,2,0,1,0,455,348,66.0,112.6,.432,.450,.570,49.4,46.5,8.9,2.9,.509,12.5,22.4,.356
West Virginia,7,3,4,.429,3.76,4.18,3,2,0,0,449,452,65.4,98.0,.438,.356,.490,53.3,54.5,5.5,12.0,.437,15.8,33.1,.311
Western Carolina,7,6,1,.857,3.64,-1.52,3,0,3,1,546,474,69.2,112.8,.302,.338,.573,54.7,40.3,3.9,7.5,.544,13.1,27.7,.221
Western Illinois,8,3,5,.375,-14.75,1.91,3,0,0,5,562,575,70.1,97.2,.364,.368,.485,54.1,47.0,6.7,15.3,.461,16.2,34.6,.217
Western Kentucky,8,5,3,.625,-3.11,0.09,3,0,1,1,649,595,78.1,103.8,.349,.308,.522,51.9,38.4,10.6,8.5,.485,14.6,32.3,.248
Western Michigan,7,2,5,.286,-4.42,1.15,0,3,0,2,452,491,65.0,97.6,.294,.402,.520,50.2,49.7,8.4,5.3,.507,19.9,33.5,.173
Wichita State,8,7,1,.875,9.68,0.68,5,0,1,0,642,549,72.2,111.1,.310,.308,.553,56.3,42.3,6.7,13.0,.526,13.0,32.4,.217
William & Mary,9,3,6,.333,-10.47,-4.10,3,0,0,4,689,685,69.2,109.0,.371,.485,.557,51.8,50.6,6.6,4.3,.519,14.0,27.3,.272
Winthrop,9,6,3,.667,-1.15,-5.29,5,1,1,2,716,592,67.5,118.0,.481,.390,.579,53.3,44.5,10.7,8.3,.539,14.2,35.5,.346
Wisconsin,8,6,2,.750,16.58,6.46,4,1,0,1,592,511,65.5,113.0,.375,.338,.555,55.2,39.4,10.1,4.6,.510,13.6,36.6,.287
Wofford,8,3,5,.375,-4.05,3.23,2,0,1,2,622,656,71.8,104.9,.346,.431,.546,52.2,53.2,4.9,9.9,.520,16.2,28.7,.231
Wright State,8,3,5,.375,3.55,3.05,1,1,0,3,651,647,71.1,114.4,.290,.284,.585,53.1,40.3,8.4,7.7,.559,14.8,32.5,.213
Wyoming,7,4,3,.571,-2.74,-0.07,2,0,0,2,531,499,71.4,106.2,.419,.346,.577,50.1,51.7,9.4,11.7,.539,19.4,32.3,.305
Xavier,8,4,4,.500,15.94,8.94,3,2,0,1,600,544,72.7,103.1,.365,.324,.530,51.4,65.9,10.3,8.0,.500,15.2,29.9,.245
Yale,9,5,4,.556,4.17,4.17,2,0,1,3,676,627,67.0,109.0,.296,.322,.549,50.6,47.4,8.7,9.1,.515,11.9,26.4,.222
Youngstown State,8,5,3,.625,-0.50,-0.17,4,0,1,3,611,563,71.0,107.6,.272,.409,.533,53.7,49.1,8.3,10.1,.504,14.0,32.9,.195
