school_name,g,wins,losses,win_loss_pct,srs,sos,wins_home,losses_home,wins_visitor,losses_visitor,pts,opp_pts,pace,off_rtg,fta_per_fga_pct,fg3a_per_fga_pct,ts_pct,trb_pct,ast_pct,stl_pct,blk_pct,efg_pct,tov_pct,orb_pct,ft_rate
Dayton,8,6,2,.750,9.67,3.79,3,0,1,1,560,513,62.8,111.6,.369,.460,.590,49.8,65.6,8.8,11.3,.558,17.0,30.3,.270
Delaware,8,5,3,.625,2.23,-1.48,2,0,2,1,610,551,69.5,109.7,.311,.342,.548,52.1,51.5,7.6,8.5,.529,13.2,30.0,.200
Delaware State,10,4,6,.400,-13.49,-7.79,0,1,2,4,704,761,71.0,94.4,.371,.229,.500,52.9,45.6,12.7,6.5,.456,18.9,34.1,.264
Denver,9,6,3,.667,-4.71,-7.71,3,0,2,2,752,675,71.3,117.1,.463,.356,.551,53.5,50.4,8.6,11.8,.503,10.8,35.7,.340
DePaul,7,1,6,.143,2.11,9.25,1,4,0,0,500,550,72.2,98.8,.368,.345,.544,45.9,59.6,6.9,9.8,.503,18.3,24.2,.274
Detroit Mercy,8,0,8,.000,-14.29,1.96,0,2,0,6,489,619,65.9,92.8,.253,.350,.506,46.4,49.7,8.7,5.7,.486,19.4,26.4,.162
Drake,8,7,1,.875,9.05,0.48,4,0,1,0,638,558,68.7,116.2,.316,.399,.585,50.8,55.4,9.5,3.9,.552,11.8,27.5,.243
Drexel,8,5,3,.625,1.63,-3.12,2,1,2,2,513,475,64.0,98.7,.296,.330,.509,54.6,45.8,6.9,14.3,.479,16.7,31.6,.204
Duke,8,5,3,.625,17.59,3.84,4,1,0,2,647,537,69.7,115.9,.342,.352,.563,52.6,54.0,9.5,10.8,.534,10.7,29.3,.241
Duquesne,7,5,2,.714,9.17,1.74,4,1,0,1,543,491,68.5,113.4,.300,.443,.561,51.6,51.6,9.8,15.9,.534,13.7,33.2,.212
East Carolina,8,5,3,.625,-3.99,-5.56,5,2,0,1,625,584,67.7,115.5,.470,.393,.561,54.5,51.0,10.9,7.8,.526,13.9,38.2,.321
East Tennessee State,7,3,4,.429,-6.83,-0.66,3,0,0,4,479,499,70.8,96.6,.295,.430,.488,49.0,45.0,10.5,10.7,.460,15.9,30.6,.193
Eastern Illinois,9,4,5,.444,-10.63,2.37,3,0,0,5,641,565,68.7,103.6,.223,.278,.504,54.8,51.4,11.3,9.2,.476,14.4,35.1,.163
Eastern Kentucky,5,3,2,.600,-9.94,-4.27,3,2,0,0,456,379,79.0,115.4,.278,.378,.533,54.0,57.8,10.6,19.6,.520,11.9,40.2,.167
